time,Rhout,Tout,Windsp
43815,80.6,6.9,4.7
43815.00347,80.59999999,6.9,4.7
43815.00694,80.40000003,6.9,4.7
43815.01042,80.20000002,6.9,4.7
43815.01389,80.89999998,6.700000007,4.7
43815.01736,81.40000001,6.7,4.699999966
43815.02083,81.8,6.70000001,3.7
43815.02431,81.8,6.799999987,3.7
43815.02778,81.70000001,6.8,3.7
43815.03125,81.6,6.8,3.7
43815.03472,81.90000001,6.7,3.2
43815.03819,82.09999997,6.7,3.2
43815.04167,82.19999999,6.60000001,3.2
43815.04514,82.49999999,6.500000003,3.2
43815.04861,83.10000001,6.4,3.2
43815.05208,83.50000005,6.39999999,3.2
43815.05556,83.99999993,6.300000013,3.2
43815.05903,84.29999998,6.3,2.700000034
43815.0625,84.8,6.2,2.7
43815.06597,84.70000001,6.2,2.7
43815.06944,84.79999999,6.2,2.7
43815.07292,84.70000001,6.2,2.7
43815.07639,84.8,6.2,2.7
43815.07986,85.1,6.100000003,2.7
43815.08333,85.1,6.2,2.7
43815.08681,85.1,6.2,2.7
43815.09028,84.90000001,6.2,3.29999996
43815.09375,84.9,6.2,3.3
43815.09722,85.10000001,6.2,3.3
43815.10069,85.19999999,6.2,3.3
43815.10417,85.39999998,6.10000001,3.3
43815.10764,85.69999999,6.1,3.3
43815.11111,86.10000001,6.1,3.3
43815.11458,86.30000001,6.09999999,3.3
43815.11806,86.39999999,6.000000013,3.3
43815.12153,86.89999997,6.099999993,3.3
43815.125,87.2,6.1,3.3
43815.12847,87.40000002,6,3.3
43815.13194,87.69999996,6,3.3
43815.13542,88.09999996,6.09999999,3.3
43815.13889,88.2,6.1,3.3
43815.14236,88.3,6.1,3.3
43815.14583,88.40000001,6.1,3.3
43815.14931,88.49999999,6.1,3.3
43815.15278,88.59999999,6.1,3.3
43815.15625,88.7,6.1,3.3
43815.15972,88.70000001,6.1,3.30000002
43815.16319,88.89999997,6.1,3.59999996
43815.16667,89.09999998,6.1,3.6
43815.17014,89.39999999,6.1,3.6
43815.17361,89.40000001,6.1,3.6
43815.17708,89.70000002,6.09999999,3.6
43815.18056,89.89999997,6.000000013,3.6
43815.18403,89.9,6,3.6
43815.1875,90.1,6,3.6
43815.19097,90.20000003,5.999999993,3.6
43815.19444,90.59999995,5.900000013,3.6
43815.19792,90.89999997,5.99999999,3.6
43815.20139,91.39999998,6,3.699999997
43815.20486,91.40000001,6,3.7
43815.20833,91.60000002,6,3.7
43815.21181,91.79999997,6,3.7
43815.21528,91.99999999,6,3.7
43815.21875,92.2,6,3.7
43815.22222,92.60000001,6,3.7
43815.22569,92.79999997,6,3.7
43815.22917,93.09999997,6.09999999,3.20000005
43815.23264,93.29999999,6.1,3.2
